"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","用户管理","1","注册功能","0","0","密码不一致测试","0"
"0","内容管理","0","问答功能","1","0","发布问题按钮测试","0"
"0","用户管理","0","登录功能","1","0","用户名为空","0"
"0","用户管理","0","登录功能","1","0","导航到注册页面","0"
"0","安全测试","0","未登录访问控制","1","0","受保护页面访问","0"
"0","安全测试","0","未登录访问控制","1","0","公开页面访问","0"
"0","内容管理","0","问答功能","1","0","问答标签筛选功能","0"
"0","用户管理","0","登录功能","1","0","登录失败","0"
"0","用户管理","1","注册功能","0","0","邀请码为空测试","0"
"0","用户管理","0","注册功能","1","0","用户名为空测试","0"
"0","内容管理","0","问答功能","1","0","问答页面加载","0"
"0","内容管理","0","问答功能","1","0","问答分页功能","0"
"0","用户管理","0","登录功能","1","0","成功登录","0"
"0","内容管理","0","博客功能","1","0","博客标签筛选功能","0"
"0","用户管理","0","注册功能","1","0","成功注册","0"
"0","内容管理","0","博客功能","1","0","博客分页功能","0"
"0","内容管理","0","博客功能","1","0","写文章按钮测试","0"
"0","内容管理","0","博客功能","1","0","博客页面加载","0"
"0","用户管理","1","登录功能","0","0","记住密码功能","0"
"0","安全测试","0","未登录访问控制","1","0","动态页面访问","0"
"0","用户管理","1","注册功能","0","0","错误邀请码测试","0"
